membership_label,baseline_group_type,K,gep,median_delta,delta_q25,delta_q75,n_samples,median_ROGUE,median_n_cells,fraction_samples_positive,members_str,delta_IQR
Mono_CD14+Mono_CD14_THBS1,subgroup,34,2,0.005068793577945849,0.004198260734947225,0.005939326420944475,2,0.9837363405073203,61.0,1.0,Mono_CD14+Mono_CD14_THBS1,0.0017410656859972494
Mono_CD14+Mono_CD14_THBS1,subgroup,34,5,-0.034752266465614995,-0.041073171660972047,-0.02843136127025795,2,0.9439152804637592,57.5,0.0,Mono_CD14+Mono_CD14_THBS1,0.012641810390714096
Mono_CD14+Mono_CD14_THBS1,subgroup,34,9,-0.00376238951644,-0.00376238951644,-0.00376238951644,1,0.9719975336312162,52.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,35,1,-0.10501750246841221,-0.11761096409948711,-0.0924240408373373,2,0.8736500444609621,423.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.025186923262149816
Mono_CD14+Mono_CD14_THBS1,subgroup,35,2,-0.00372210871719565,-0.010482550578706926,0.0030383331443156253,2,0.9749454382121786,61.5,0.5,Mono_CD14+Mono_CD14_THBS1,0.013520883723022552
Mono_CD14+Mono_CD14_THBS1,subgroup,35,3,0.0006626610579378,0.0006626610579378,0.0006626610579378,1,0.976422584205594,49.0,1.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,35,5,0.015614102403077,0.015614102403077,0.015614102403077,1,0.9913740255507332,53.0,1.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,19,1,-0.0227607088687094,-0.0227607088687094,-0.0227607088687094,1,0.96294110344959,93.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,19,3,-0.0529486683873232,-0.0529486683873232,-0.0529486683873232,1,0.9246646211569468,299.0,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.0
Mono_CD14+Mono_CD14_THBS1+Mono_CD16,subgroup,21,1,-0.0857988264947953,-0.0957211794010811,-0.07587647358850949,2,0.8980095012298246,229.5,0.0,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.01984470581257161
