pathway,K5,K6,K7,K8,K9,K10
MERGED_PPP1R1B_POSITIVE,3,3,3,3,3,2
MERGED_PREZYMOGENIC,3,3,3,3,3,2
MERGED_PRE_B,1,1,4,4,6,4
MERGED_PRE_PC,2,2,1,7,8,9
MERGED_PRE_PDC_DC5,2,2,1,1,1,1
MERGED_PRIMITIVE_ERYTHROCYTE,4,4,5,5,5,6
MERGED_PROCRPOS_PROGENITOR,4,4,5,5,5,6
MERGED_PROLIFERATING_BASAL,2,2,1,1,1,7
MERGED_PROLIFERATING_CHONDROCYTE,2,2,1,1,1,1
MERGED_PROLIFERATING_MACROPHAGE,2,2,1,1,1,7
MERGED_PROLIFERATING_NK_T,2,2,1,1,1,1
MERGED_PROLIFERATING_SCHWANN,2,2,1,1,1,1
MERGED_PROLIFERATIVE,2,2,1,1,1,1
MERGED_PROMONOCYTE_LIKE,2,2,1,1,1,1
MERGED_PROMYELOCYTE_LIKE,2,2,1,1,1,1
MERGED_PROXIMAL_BASAL,2,2,1,1,1,7
MERGED_PROXIMAL_CILIATED,3,3,3,3,3,2
MERGED_PROXIMAL_SECRETORY_1,3,3,3,3,3,2
MERGED_PROXIMAL_SECRETORY_2,3,3,3,3,3,2
MERGED_PROXIMAL_SECRETORY_3,3,6,7,8,9,10
MERGED_PROXIMAL_SECRETORY_PROGENITORS,3,6,7,8,9,10
MERGED_PROXIMAL_TUBULE_EPITHELIAL_CELLS_FIBRINOGEN_POS_S3,2,2,1,1,1,7
MERGED_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S1_S2,4,4,5,5,5,1
MERGED_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S2,4,4,5,5,5,1
MERGED_PROXIMAL_TUBULE_EPITHELIAL_CELLS_S3,4,4,5,5,5,7
MERGED_PROXIMAL_TUBULE_EPITHELIAL_CELLS_STRESS_INFLAM,3,3,3,3,3,2
MERGED_PRO_B,2,2,1,1,1,1
MERGED_PTGDS_POS_OPC,4,4,5,5,5,6
MERGED_PULMONARY_NEUROENDOCRINE,3,3,3,3,3,2
MERGED_PULMONARY_NE_PRECURSOR,4,4,1,1,1,1
MERGED_PURKINJE_NEURONS,4,4,5,5,5,6
MERGED_PUTATIVE_BASOPHIL_EOSINOPHIL_MAST_CELL_PROGENITOR,1,1,2,2,2,7
MERGED_PUTATIVE_EARLY_ERYTHROID_COMMITMENT,1,1,2,2,2,3
MERGED_PUTATIVE_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR,1,1,4,4,4,5
MERGED_PUTATIVE_MEGAKARYOCYTE_PROGENITOR,4,4,5,7,8,9
MERGED_PUTATIVE_PIT_CELL_PROGENITOR,4,4,5,5,5,6
MERGED_PUTATIVE_STEM,3,3,3,3,3,2
MERGED_QUIESCENT_BASAL,2,2,1,1,1,7
MERGED_REG3A_POSITIVE,3,3,3,3,3,7
MERGED_RESIDENT_B,1,1,4,4,4,5
MERGED_RESPIRATORY_CILIATED,3,3,3,3,3,2
MERGED_RESPIRATORY_COLUMNAR,2,2,1,1,1,7
MERGED_RESPIRATORY_HORIZONTAL_BASAL,2,2,1,1,1,7
MERGED_RESPIRATORY_SECRETORY,3,6,7,8,9,10
MERGED_RESTING_CHONDROCYTE,4,4,5,5,5,6
MERGED_RETINAL_PIGMENT,4,4,5,5,5,1
MERGED_RETINAL_PROGENITORS_AND_MULLER_GLIA,3,3,3,3,3,2
MERGED_RGC,2,2,1,1,1,7
MERGED_RIGHT_ATRIAL_CARDIOMYOCYTE,4,4,7,8,9,7
MERGED_RPC,2,2,1,1,1,1
MERGED_RPE,4,4,5,5,5,6
MERGED_S100A12_HI_CLASSICAL_MONOCYTE,5,6,7,8,9,10
MERGED_SATB2_LRRC7_POSITIVE,2,2,1,1,1,1
MERGED_SATELLITE,4,4,5,5,5,6
MERGED_SCG3_POS_LYMPHATIC_ENDOTHELIAL,2,2,1,1,1,7
MERGED_SCHWANN,4,4,5,5,5,6
MERGED_SCHWANN_PRECURSOR,2,2,1,1,1,1
MERGED_SECRETORY_PROGENITOR,5,5,6,6,7,8
MERGED_SEROUS,3,3,3,3,3,2
MERGED_SIGNALING_ALVEOLAR_EPITHELIAL_TYPE_2,3,3,3,3,3,2
MERGED_SIMILAR_TO_HSC_C6_PUTATIVE_ALTERED_METABOLIC_STATE,5,5,6,6,7,8
