K,GEP,Top_CellType,NES
33,28,Mac_SPP1,1.04
33,29,Mast,1.046
33,30,Mac_IL1Bint,1.006
33,31,cDC2_CD1C,1.001
33,32,mregDC_LAMP3,1.002
33,33,Mono_TIL,1.0
34,1,DC_pDC,1.974
34,2,cDC2_CD1C,2.4
34,3,Mac_IL1B,1.991
34,4,Mac_SPP1,2.055
34,5,DC_pDC,1.177
34,6,Mast,2.055
34,7,mregDC_LAMP3,2.167
34,8,Mac_SPP1,1.572
34,9,DC_pDC,1.122
34,10,Mac_SPP1,1.324
34,11,Mac_SPP1,1.269
34,12,Mast,1.313
34,13,Mac_SPP1,1.143
34,14,mregDC_LAMP3,1.615
34,15,DC_pDC,1.02
34,16,Mac_SPP1,1.043
34,17,mregDC_LAMP3,1.106
34,18,Mast,1.006
34,19,Mast,1.274
34,20,Mast,1.869
34,21,Mac_SPP1,1.334
34,22,DC_pDC,1.007
34,23,Mac_SPP1,1.126
34,24,cDC2_CD1C,1.07
34,25,Mast,1.088
34,26,Mast,1.007
34,27,Mast,1.037
34,28,cDC1_CLEC9A,1.04
34,29,Mono_CD16,1.008
34,30,Mac_IL1B,1.019
34,31,Mast,1.001
34,32,cDC2_CD1C,1.004
34,33,cDC2_CD33,1.001
34,34,cDC1_CLEC9A,1.005
35,1,DC_pDC,2.181
35,2,cDC2_CD1C,2.188
35,3,cDC2_CD1C,2.27
35,4,cDC2_CD1C,1.964
35,5,cDC2_CD1C,1.145
35,6,Mac_SPP1,1.584
35,7,Mac_SPP1,1.711
35,8,Mac_SPP1,1.525
35,9,Mast,1.559
35,10,mregDC_LAMP3,2.047
35,11,Mac_IL1B,1.374
35,12,Mac_IL1B,1.465
35,13,Mast,1.359
35,14,Mac_SPP1,1.316
35,15,Mac_IL1B,1.19
35,16,cDC2_CD1C,1.068
35,17,Mast,1.277
35,18,DC_pDC,1.025
35,19,mregDC_LAMP3,2.041
35,20,Mac_SPP1,1.095
35,21,Mac_SPP1,1.09
35,22,mregDC_LAMP3,1.1
35,23,Mac_SPP1,1.272
35,24,Mast,1.332
35,25,Mac_SPP1,1.143
35,26,Mast,1.282
35,27,cDC1_CLEC9A,1.013
35,28,Mac_SPP1,1.135
35,29,Mac_IL1Bint,1.081
35,30,cDC2_CD1C,1.006
35,31,DC_pDC,1.003
35,32,cDC2_CD33,1.004
35,33,DC_pDC,1.002
35,34,mregDC_LAMP3,1.002
35,35,Mono_Int,1.004
