k	gep	program_class	top_identity_label	second_identity_label	top_identity_nes	second_identity_nes	top_identity_fdr	second_identity_fdr	nes_gap	runner_up_ratio	n_significant_identity_sets	significant_identity_sets	classification_reason
12	9	non_identity_unresolved	Mono_TIL	cDC2_CD1C	1.295408245853625	1.204069465468501	0.0	0.0	0.091338780385124		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
13	1	identity_ambiguous	Mono_CD14_ID1	Mono_CD14_THBS1	1.8416997486860827	1.5954236732194111	0.0	0.0	0.24627607546667152	0.8662778361986684	3	Mono_CD14_ID1:NES=1.842,q=0; Mono_CD14_THBS1:NES=1.595,q=0; Mono_CD14_IL1B:NES=1.426,q=0	3 significant sets, top two near-tied (runner_up_ratio=0.866 > 0.8)
13	10	identity_supported	mregDC_LAMP3	cDC2_CD1C	1.3127521869143695	1.1913463727368194	0.0	0.0	0.12140581417755003	0.0	1	mregDC_LAMP3:NES=1.313,q=0	single significant identity (mregDC_LAMP3); no competitor set
13	11	non_identity_unresolved	Mast	cDC2_CD1C	1.2534144556532483	0.9778854573549219	0.0	1.0	0.27552899829832633		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
13	12	non_identity_unresolved	Mast	cDC2_CD1C	1.176048553861155	1.1669667302180184	0.082	0.0565	0.009081823643136477		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
13	13	non_identity_unresolved	Mac_SPP1	Mac_IL1Bint	1.1518399278530889	1.105300954879316	0.064	0.17	0.04653897297377285		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
13	2	identity_supported	Mono_CD16	Mono_Int	1.944399024251808	1.4827296479216836	0.0	0.0	0.4616693763301245	0.7625644887845118	3	Mono_CD16:NES=1.944,q=0; Mono_Int:NES=1.483,q=0; cDC2_CD33:NES=1.447,q=0	Mono_CD16 dominates 3 significant sets (runner_up_ratio=0.763 <= 0.8)
13	3	identity_ambiguous	cDC2_CD1C	cDC1_CLEC9A	1.3396269123963407	1.3258354942496173	0.0	0.0	0.013791418146723355	0.9897050305431285	2	cDC2_CD1C:NES=1.340,q=0; cDC1_CLEC9A:NES=1.326,q=0	2 significant sets, top two near-tied (runner_up_ratio=0.990 > 0.8)
13	4	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.267748586882454	1.1361098165474113	0.0	0.0	0.1316387703350428		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
13	5	non_identity_unresolved	cDC2_CD1C	Mac_CXCL9	1.2143437841022364	1.2022544047737882	0.0	0.0	0.012089379328448224		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
