,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ABCA7,0.01068264645984306,0.030993554291738213,-0.015971323101632726,-0.015324120817294855,-0.00881178003828722,-0.005917422675518259,0.009484405808727042,-0.0006719786562136631,0.0016725477989642339,0.0025767184082758653
ABCA8,0.0178105944569497,-0.020700861086119245,-0.01516062387183375,0.012530779408410209,-0.016505503409491456,0.004873855425419102,0.002862919702934206,0.0002551558226958774,0.010628864218934506,-0.008622291598310744
ABCA9,0.02168151588378644,-0.02092961602614871,-0.014313354028941119,0.007634578720675771,-0.015663032301088592,-0.0007478088360162386,0.0015628937171028017,0.000702116356177344,0.006418570772053676,-0.005905401044533053
ABCB1,0.00013394590204523124,0.010127846213109916,0.0023025720449994925,0.002429310923380514,-0.013857671070329359,0.011758178715759314,-0.027485445159310475,0.002733168862433391,0.0031529889920264465,0.004900967663631999
ABCB5,0.020129264377261955,-0.019422971189558495,-0.0019692100858559524,-0.009059296460982181,0.013003194217181123,0.0021218173685365665,-0.005215618925098075,-0.0030120958795171824,0.0035298573906049225,-0.014620040096732026
ABCC11,0.015019214643671217,-0.012565488019215138,-0.0034339930863691967,-0.008100975955739859,0.00790517779493927,-0.01074256681212818,0.00942060197657393,0.009350521479486352,-0.023498299027391208,0.014785981803061078
ABCC3,0.015785462450953993,-0.001660660194481048,0.025177771054879786,-0.01075807704101793,-0.019337574127963206,0.001901923097785585,-0.022900637214450938,0.012077579080758875,-0.0012736387847700251,-0.004531239202731696
ABCC4,0.021209510459792247,-0.018313680015150425,-0.015593029636016227,0.0023577937347648193,0.0010462218962657664,-0.006324084833047838,-0.0023736688828151498,0.005232110427285551,0.0002487531313389218,0.007148418736221544
ABCC5,0.01633393143999977,0.01953389997116348,0.013988322036598378,0.020212143407298468,0.008893628159982505,-0.017706797781127572,0.0006823458603720886,0.008574875071698105,0.009640124874906444,0.004662335953608357
ABCC9,0.009507597426084894,0.0012055199836596457,-0.001051367220532155,0.013691757001260272,0.012162620328199246,0.0300940456658139,-0.008462672568112353,-0.0037097856461040224,-0.008334255677901444,-0.026144001923389868
ABCD1,0.02504534746460818,0.011183159905585462,-0.0004111809427074212,-0.012022829025719725,-0.0004416099507113431,0.00578313580015821,0.004552446645525158,0.020134564683583586,0.017667923167502,-0.006996618896206199
ABCD2,0.0058891575847267105,0.026675107594421946,-0.017696968420307973,-0.013012099202435264,0.005996021963883825,0.0015993281888939193,-0.018400870403681997,-0.028529892805803266,0.00684212047775206,-0.003727190360039902
ABCG1,0.010235003510403818,0.027642492226707945,-0.005085323074540701,0.010399236150333462,-0.00885757300396524,0.005639020649899618,-0.016865914025646307,0.019184168189283167,0.004794441915888448,0.011589095189184656
ABCG4,0.001450593111728045,0.017109189593044857,0.005610027798599116,0.014185506547465615,0.0065158287400146325,0.03719575243868709,-0.0032992086176115328,-0.004407067109831045,-0.019226322391437164,-0.0019348287639352742
ABHD11,0.016285981948124282,0.007896303374205138,0.03485073760757191,-0.01566762443405481,-0.006821356972225572,-0.007339222990358436,0.0009735086395717989,-0.00015595693988144414,0.0007324954806625702,-0.0032838418552749746
ABHD17B,0.01310044034991793,0.013245130524941638,0.00807819118487225,-8.325850490796821e-05,0.006506498656266799,-0.012161503467816295,0.002662145613949266,-0.008122110783613353,0.005575177903712761,0.008192305327819265
ABHD17C,0.010096480173691622,0.00033238921126313,0.03432438275843208,-0.009042916113338496,-0.019191644257293198,0.0036450102696863433,-0.02282616302168339,0.0033784987856684055,0.001391275989875995,-0.006572288947429353
ABHD5,0.01810574362637242,0.015475930842577791,0.011617415663836754,0.008524892507734227,0.0025743811308751724,-0.013753578408845262,0.0026968079678148164,0.005349443152570524,0.010287596285891206,0.013404258363975706
ABI3,0.009207060965131084,0.029178158328322087,-0.012749345508806569,-0.015646751355706336,0.012866127376069373,0.012774786809344692,0.0023899987378731354,0.010028072840759591,0.009045607127583946,-0.000288596667939211
ABI3BP,0.018491000592210254,-0.0186331439423672,-0.014430338678470274,0.015626489622229046,-0.014044250198729588,0.013556936189080498,0.004366214671454746,-0.00044570568152133526,0.008193688536703185,-0.010150084535674696
ABL2,0.02489986476486085,-0.00823732887454218,-0.00521119556663618,0.0010749012658923974,-0.0014564650824544752,-0.0032655368814606556,0.0042060402234734475,0.003627424439240289,-0.008388671623107677,0.021656272638501336
ABLIM2,0.012231467472338317,0.0003682858295923709,0.01333523955418371,0.0069343508803105395,-0.026088158982856602,0.013843948544512957,0.018697025000635664,-0.013759323799875989,0.0012789417082113555,0.033603157198041335
ABLIM3,0.010245315110807037,-0.0040667367230445865,-0.0035062672043367194,0.008513926122127154,0.002653412124171607,0.005020062954899313,-0.0051037658568973,0.0007403224945873075,0.0023150248282976385,0.022447833616841942
ABTB1,0.022922149875575087,0.019982300247012058,-0.009292098658088235,-0.014501348018615346,-0.0013120505903918827,0.008714735580723504,0.008792429989921385,-0.0032864539085160627,0.0028153448951793066,-0.008442293206967688
ABTB2,0.014127941565140094,-0.0056794400437562235,0.005805824282333932,0.003940431568585766,-0.030913169641161045,0.007736403872219801,-0.006830658268729905,0.005803238970795708,0.0038710838857158583,-0.011315554305488643
