sample,K,gep,label,label_kind,membership_label,baseline_group_type,members_str,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,baseline_ROGUE_mean,baseline_ROGUE_min,baseline_ROGUE_max,delta_ROGUE_vs_mean,delta_ROGUE_vs_max,recommendation
GSM4138157,20,4,Macrophage_family,family,Macrophage_family,family,,0.913283060494787,17,0.745323439639108,0.16795962085567906,0.8158397454468849,0.8158397454468849,0.8158397454468849,0.09744331504790216,0.09744331504790216,family_GEP_purer
GSM4138139,20,3,Mono_CD16,specific,Mono_CD16,specific,,1.0,17,,,,,,,,no_baseline
GSM4138111,20,4,Macrophage_family,family,Macrophage_family,family,,0.8640891711610171,17,0.6882776456797236,0.17581152548129353,0.7991040056841936,0.7322395348303408,0.8659684765380463,0.06498516547682354,-0.0018793053770291834,no_change
GSM4138122,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9751646058440876,17,,,,,,,,ambiguous
GSM4138128,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9751646058440876,17,,,,,,,,ambiguous
GSM4138163,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9903020421816136,16,,,,,,,,ambiguous
GSM4138130,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9688099390526624,16,,,,,,,,ambiguous
GSM4138123,20,7,DC_family,family,DC_family,family,,0.867274532820319,16,0.6667997738663793,0.20047475895393962,0.7944793301776124,0.7217787508104097,0.8671799095448152,0.07279520264270656,9.462327550380234e-05,no_change
GSM4138129,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9728596815705096,15,,,,,,,,ambiguous
GSM4138111,20,11,DC_family,family,DC_family,family,,0.7587851819768315,15,0.6349829952708956,0.1238021867059359,0.8001298856559369,0.7113042769620459,0.8879178701916859,-0.041344703679105366,-0.12913268821485435,GEP_less_pure_than_family
GSM4138162,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9939497440455548,15,,,,,,,,ambiguous
GSM4138135,20,3,Mono_CD16,specific,Mono_CD16,specific,,0.9817866971001312,15,,,,,,,,no_baseline
GSM4138115,20,4,Macrophage_family,family,Macrophage_family,family,,0.9436343740902462,15,0.8636036292984355,0.08003074479181072,0.923714937597778,0.923714937597778,0.923714937597778,0.01991943649246819,0.01991943649246819,no_change
GSM4138117,20,13,Mast,specific,Mast,specific,Mast,0.9843483876594742,15,0.9843483876594742,0.0,,,,,,no_change
GSM4138116,21,2,Monocyte_family,family,Monocyte_family,family,Mono_CD14_THBS1,0.9366232483801812,684,0.9356410662228491,0.0009821821573320344,0.973222861391794,0.9488562390826472,0.993207105309723,-0.03659961301161285,-0.05658385692954182,GEP_less_pure_than_family
GSM4138156,21,2,Monocyte_family,family,Monocyte_family,family,Mono_CD14,0.962614903370207,628,0.9167116740181982,0.045903229352008856,0.9708247819000517,0.9585151707269228,0.991469395085664,-0.008209878529844672,-0.028854491715456954,no_change
GSM4138134,21,1,cDC2_CD33,specific,Mono_CD14+Mono_CD16+Mono_Int,subgroup,Mono_CD14+Mono_CD16+Mono_Int,0.9438656231583632,623,0.940513995638085,0.0033516275202781776,0.9732246833979574,0.969180165971545,0.9770704816299478,-0.029359060239594226,-0.03320485847158461,no_change
GSM4138134,21,2,Monocyte_family,family,Monocyte_family,family,Mono_CD14,0.9864743961505088,586,0.9410485429569851,0.04542585319352366,0.9759519393268129,0.969180165971545,0.9841337071133792,0.010522456823695903,0.002340689037129584,no_change
GSM4138126,21,2,Monocyte_family,family,Monocyte_family,family,Mono_CD14,0.9859356983515348,552,0.962332521312366,0.02360317703916881,0.9846124741705987,0.9804022862765086,0.991109040462826,0.0013232241809361112,-0.005173342111291168,no_change
